iteration,block,gen,kill,in,out
2,B33,{D17},"{D18, D19}","{D15, D16}","{D15, D16, D17}"
2,B34,{D18},"{D17, D19}","{D15, D16}","{D15, D16, D18}"
2,B35,"{D19, D20, D21}","{D12, D16, D17, D18, D2, D5, D52}",{},"{D19, D20, D21}"
2,B36,{},{},{},{}
2,B37,{},{},{},{}
2,B38,{},{},{},{}
2,B39,{},{},{},{}
2,B40,{},{},{},{}
2,B41,{},{},{},{}
2,B42,{},{},{},{}
2,B43,{},{},{},{}
2,B44,"{D22, D23}",{},{},"{D22, D23}"
2,B45,{},{},{},{}
2,B46,{},{},{},{}
2,B47,{},{},{},{}
2,B48,{},{},{},{}
2,B49,{},{},{},{}
2,B50,{},{},{},{}
2,B51,{},{},{},{}
2,B52,{D24},{},{},{D24}
2,B53,{},{},{D24},{D24}
2,B54,"{D25, D26}",{D28},{D24},"{D24, D25, D26}"
2,B55,{D27},"{D31, D33}","{D24, D25, D26}","{D24, D25, D26, D27}"
2,B56,{D28},{D26},"{D24, D25, D26, D27}","{D24, D25, D27, D28}"
2,B57,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
2,B58,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
2,B59,"{D29, D30, D31}","{D27, D33}","{D24, D25, D26, D27, D28}","{D24, D25, D26, D28, D29, D30, D31}"
2,B60,{D32},{},"{D24, D25, D26, D27, D28, D29, D30, D31}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}"
2,B61,{},{},"{D24, D25, D26, D27, D28, D29, D30, D31, D32}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}"
2,B62,{D33},"{D27, D31}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}","{D24, D25, D26, D28, D29, D30, D32, D33}"
2,B63,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33}","{D24, D25, D26, D28, D29, D30, D32, D33}"
2,B64,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33}","{D24, D25, D26, D28, D29, D30, D32, D33}"
2,B65,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
2,B66,{D34},{D1},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
2,B67,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
2,B68,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
2,B69,"{D35, D36}","{D10, D13, D14, D37, D38, D39, D40, D41, D42, D45, D46, D59, D6, D9}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}"
2,B70,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}"
2,B71,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}"
2,B72,"{D37, D39}","{D10, D13, D14, D35, D36, D38, D40, D41, D42, D45, D46, D59, D6, D9}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D37, D39}"
2,B73,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36, D37, D39}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36, D37, D39}"
2,B74,{D40},"{D36, D37, D41, D59}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36, D37, D39}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D39, D40}"
2,B75,{D41},"{D36, D37, D40, D59}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D36, D37, D39, D40, D41}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D39, D41}"
2,B76,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D39, D41}","{D24, D25, D26, D28, D29, D30, D32, D33, D34, D35, D39, D41}"
2,B77,"{D42, D43}","{D10, D13, D14, D35, D38, D39, D44, D45, D46, D47, D48, D6, D60, D9}",{},"{D42, D43}"
2,B78,{},{},"{D42, D43}","{D42, D43}"
2,B79,{},{},"{D42, D43}","{D42, D43}"
2,B80,"{D44, D46}","{D10, D13, D14, D35, D38, D39, D42, D43, D45, D47, D48, D6, D60, D9}","{D42, D43}","{D44, D46}"
2,B81,{},{},"{D42, D43, D44, D46}","{D42, D43, D44, D46}"
2,B82,{D47},"{D43, D44, D48, D60}","{D42, D43, D44, D46}","{D42, D46, D47}"
2,B83,{D48},"{D43, D44, D47, D60}","{D42, D43, D44, D46, D47, D48}","{D42, D46, D48}"
2,B84,{},{},"{D42, D46, D48}","{D42, D46, D48}"
2,B85,{},{},{},{}
2,B86,{},{},{},{}
2,B87,{},{},{},{}
2,B88,{},{},{},{}
2,B89,{},{},{},{}
2,B90,{},{},{},{}
2,B91,"{D49, D50, D51, D52}","{D11, D12, D15, D16, D21, D3, D4, D5, D53, D55, D56, D58, D63, D64}",{},"{D49, D50, D51, D52}"
2,B92,{},{},{},{}
2,B93,{},{},{},{}
2,B94,{D53},"{D50, D55, D56, D58, D63, D64}",{},{D53}
2,B95,{},{},{D53},{D53}
2,B96,{},{},{D53},{D53}
2,B97,{},{},{D53},{D53}
2,B98,{},{},{D53},{D53}
2,B99,{D54},{},"{D53, D54}","{D53, D54}"
2,B100,{},{},"{D53, D54}","{D53, D54}"
2,B101,{},{},"{D53, D54}","{D53, D54}"
2,B102,{},{},"{D53, D54}","{D53, D54}"
2,B103,{D55},"{D50, D53, D56, D58, D63, D64}","{D53, D54}","{D54, D55}"
2,B104,{},{},"{D54, D55}","{D54, D55}"
2,B105,{D56},"{D50, D53, D55, D58, D63, D64}","{D54, D55}","{D54, D56}"
2,B106,{},{},"{D54, D56}","{D54, D56}"
2,B107,{},{},"{D54, D56}","{D54, D56}"
2,B108,{D57},{},"{D54, D56}","{D54, D56, D57}"
2,B109,{},{},"{D54, D56, D57}","{D54, D56, D57}"
2,B110,{},{},"{D54, D56, D57}","{D54, D56, D57}"
2,B111,{},{},"{D54, D56, D57}","{D54, D56, D57}"
2,B112,{},{},"{D54, D56, D57}","{D54, D56, D57}"
2,B113,{D58},"{D50, D53, D55, D56, D63, D64}","{D54, D56, D57}","{D54, D57, D58}"
2,B114,{},{},"{D54, D56, D57, D58}","{D54, D56, D57, D58}"
2,B115,"{D59, D60}","{D36, D37, D40, D41, D43, D44, D47, D48}","{D54, D56, D57, D58}","{D54, D56, D57, D58, D59, D60}"
2,B116,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
2,B117,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
2,B118,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
