iteration,block,gen,kill,in,out
1,B122,"{D64, D66, D67, D68}","{D37, D39, D40, D41, D43, D44, D45, D62, D63, D65, D69}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61}","{D38, D42, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68}"
1,B123,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68}"
1,B124,"{D69, D70}","{D41, D42, D45, D46, D63, D66}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68}","{D37, D38, D39, D40, D43, D44, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D67, D68, D69, D70}"
1,B125,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}"
1,B126,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}"
1,B127,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D64, D66, D67, D68, D69, D70}"
2,B0,{},{},{},{}
2,B1,{},{},{D1},{D1}
2,B2,{D1},{},{D1},{D1}
2,B3,{},{},{D1},{D1}
2,B4,{},{},{D1},{D1}
2,B5,{D2},{D3},"{D1, D2}","{D1, D2}"
2,B6,{},{},"{D1, D2}","{D1, D2}"
2,B7,{},{},{},{}
2,B8,{D3},{D2},{D3},{D3}
2,B9,{},{},{D3},{D3}
2,B10,{D4},"{D11, D14, D16, D18, D20, D23, D25, D27, D32, D6, D8}","{D3, D4, D5}","{D3, D4, D5}"
2,B11,{D5},"{D12, D15, D17, D19, D21, D24, D26, D28, D34, D7, D9}","{D3, D4, D5}","{D3, D4, D5}"
2,B12,{},{},"{D3, D4, D5}","{D3, D4, D5}"
2,B13,{D6},"{D11, D14, D16, D18, D20, D23, D25, D27, D32, D4, D8}","{D3, D4, D5, D6, D7}","{D3, D5, D6, D7}"
2,B14,{D7},"{D12, D15, D17, D19, D21, D24, D26, D28, D34, D5, D9}","{D3, D5, D6, D7}","{D3, D6, D7}"
2,B15,{},{},"{D3, D6, D7}","{D3, D6, D7}"
2,B16,{D8},"{D11, D14, D16, D18, D20, D23, D25, D27, D32, D4, D6}","{D3, D6, D7, D8, D9}","{D3, D7, D8, D9}"
2,B17,{D9},"{D12, D15, D17, D19, D21, D24, D26, D28, D34, D5, D7}","{D10, D3, D7, D8, D9}","{D10, D3, D8, D9}"
2,B18,{D10},{D13},"{D10, D3, D8, D9}","{D10, D3, D8, D9}"
2,B19,{},{},"{D10, D3, D8, D9}","{D10, D3, D8, D9}"
2,B20,{},{},"{D10, D3, D8, D9}","{D10, D3, D8, D9}"
2,B21,{D11},"{D14, D16, D18, D20, D23, D25, D27, D32, D4, D6, D8}","{D10, D11, D12, D3, D8, D9}","{D10, D11, D12, D3, D9}"
2,B22,{D12},"{D15, D17, D19, D21, D24, D26, D28, D34, D5, D7, D9}","{D10, D11, D12, D3, D9}","{D10, D11, D12, D3}"
2,B23,{},{},"{D10, D11, D12, D3}","{D10, D11, D12, D3}"
2,B24,{D13},{D10},{},{D13}
2,B25,{},{},{D13},{D13}
2,B26,{},{},{D13},{D13}
2,B27,{},{},{D13},{D13}
2,B28,{},{},{D13},{D13}
2,B29,{},{},{D13},{D13}
2,B30,{},{},{D13},{D13}
2,B31,{},{},{D13},{D13}
2,B32,{D14},"{D11, D16, D18, D20, D23, D25, D27, D32, D4, D6, D8}","{D13, D14, D15}","{D13, D14, D15}"
2,B33,{D15},"{D12, D17, D19, D21, D24, D26, D28, D34, D5, D7, D9}","{D13, D14, D15}","{D13, D14, D15}"
2,B34,{},{},"{D13, D14, D15}","{D13, D14, D15}"
2,B35,{},{},"{D13, D14, D15}","{D13, D14, D15}"
2,B36,{},{},"{D13, D14, D15}","{D13, D14, D15}"
2,B37,{},{},{},{}
2,B38,{D16},"{D11, D14, D18, D20, D23, D25, D27, D32, D4, D6, D8}","{D16, D17}","{D16, D17}"
2,B39,{D17},"{D12, D15, D19, D21, D24, D26, D28, D34, D5, D7, D9}","{D16, D17}","{D16, D17}"
2,B40,{},{},"{D16, D17}","{D16, D17}"
2,B41,{D18},"{D11, D14, D16, D20, D23, D25, D27, D32, D4, D6, D8}","{D16, D17, D18, D19}","{D17, D18, D19}"
2,B42,{D19},"{D12, D15, D17, D21, D24, D26, D28, D34, D5, D7, D9}","{D17, D18, D19}","{D18, D19}"
2,B43,{},{},"{D18, D19}","{D18, D19}"
2,B44,{D20},"{D11, D14, D16, D18, D23, D25, D27, D32, D4, D6, D8}","{D18, D19, D20, D21}","{D19, D20, D21}"
2,B45,{D21},"{D12, D15, D17, D19, D24, D26, D28, D34, D5, D7, D9}","{D19, D20, D21}","{D20, D21}"
2,B46,{},{},"{D20, D21}","{D20, D21}"
2,B47,{D22},{},"{D20, D21, D22}","{D20, D21, D22}"
2,B48,{},{},"{D20, D21, D22}","{D20, D21, D22}"
2,B49,{D23},"{D11, D14, D16, D18, D20, D25, D27, D32, D4, D6, D8}","{D20, D21, D22, D23, D24}","{D21, D22, D23, D24}"
2,B50,{D24},"{D12, D15, D17, D19, D21, D26, D28, D34, D5, D7, D9}","{D21, D22, D23, D24}","{D22, D23, D24}"
2,B51,{},{},"{D22, D23, D24}","{D22, D23, D24}"
2,B52,{D25},"{D11, D14, D16, D18, D20, D23, D27, D32, D4, D6, D8}","{D22, D23, D24, D25, D26}","{D22, D24, D25, D26}"
2,B53,{D26},"{D12, D15, D17, D19, D21, D24, D28, D34, D5, D7, D9}","{D22, D24, D25, D26}","{D22, D25, D26}"
2,B54,{},{},"{D22, D25, D26}","{D22, D25, D26}"
2,B55,{D27},"{D11, D14, D16, D18, D20, D23, D25, D32, D4, D6, D8}","{D22, D25, D26, D27, D28}","{D22, D26, D27, D28}"
2,B56,{D28},"{D12, D15, D17, D19, D21, D24, D26, D34, D5, D7, D9}","{D22, D26, D27, D28}","{D22, D27, D28}"
2,B57,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B58,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B59,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B60,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B61,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B62,{},{},"{D22, D27, D28}","{D22, D27, D28}"
2,B63,{D29},"{D36, D57}","{D22, D27, D28}","{D22, D27, D28, D29}"
2,B64,{D30},{},"{D22, D27, D28, D29, D30, D31}","{D22, D27, D28, D29, D30, D31}"
2,B65,{D31},{},"{D22, D27, D28, D29, D30, D31}","{D22, D27, D28, D29, D30, D31}"
2,B66,{D32},"{D11, D14, D16, D18, D20, D23, D25, D27, D4, D6, D8}","{D22, D27, D28, D29, D30, D31, D32, D33}","{D22, D28, D29, D30, D31, D32, D33}"
2,B67,{D33},{},"{D22, D28, D29, D30, D31, D32, D33}","{D22, D28, D29, D30, D31, D32, D33}"
2,B68,{D34},"{D12, D15, D17, D19, D21, D24, D26, D28, D5, D7, D9}","{D22, D28, D29, D30, D31, D32, D33, D34}","{D22, D29, D30, D31, D32, D33, D34}"
2,B69,{},{},"{D22, D29, D30, D31, D32, D33, D34}","{D22, D29, D30, D31, D32, D33, D34}"
2,B70,"{D35, D36}","{D29, D57}","{D22, D29, D30, D31, D32, D33, D34}","{D22, D30, D31, D32, D33, D34, D35, D36}"
2,B71,{},{},"{D22, D29, D30, D31, D32, D33, D34}","{D22, D29, D30, D31, D32, D33, D34}"
2,B72,{D37},"{D39, D43, D62, D65, D67}",{},{D37}
2,B73,{},{},"{D37, D38}","{D37, D38}"
2,B74,{D38},{},"{D37, D38}","{D37, D38}"
2,B75,{},{},"{D37, D38}","{D37, D38}"
2,B76,"{D39, D40}","{D37, D43, D44, D62, D65, D67, D68}","{D37, D38}","{D38, D39, D40}"
2,B77,{},{},"{D37, D38, D39, D40}","{D37, D38, D39, D40}"
2,B78,"{D41, D42}","{D45, D46, D63, D66, D69, D70}","{D37, D38, D39, D40}","{D37, D38, D39, D40, D41, D42}"
2,B79,{},{},"{D37, D38, D39, D40, D41, D42}","{D37, D38, D39, D40, D41, D42}"
2,B80,"{D43, D44, D45, D46, D47}","{D37, D39, D40, D41, D42, D48, D62, D63, D65, D66, D67, D68, D69, D70}","{D37, D38, D39, D40, D41, D42}","{D38, D43, D44, D45, D46, D47}"
2,B81,{D48},{D47},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
2,B82,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
2,B83,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
2,B84,{D49},"{D51, D58, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49}"
2,B85,{D50},"{D52, D61}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}"
2,B86,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}"
